Category,Difficulty,Level,Constraint,'True,'False,Total,Success Percentage
Hard Constraint,medium,5,Room Type,1,2,6,0.16666666666666666
Hard Constraint,medium,5,Budget,3,5,20,0.15
Hard Constraint,medium,7,Cuisine,2,0,8,0.25
Hard Constraint,medium,7,Room Rule,2,3,9,0.2222222222222222
Hard Constraint,medium,7,Transportation,0,0,0,0
Hard Constraint,medium,7,Room Type,0,0,3,0.0
Hard Constraint,medium,7,Budget,5,2,20,0.25
Hard Constraint,hard,3,Cuisine,5,5,11,0.45454545454545453
Hard Constraint,hard,3,Room Rule,6,10,19,0.3157894736842105
Hard Constraint,hard,3,Transportation,15,0,17,0.8823529411764706
Hard Constraint,hard,3,Room Type,10,0,13,0.7692307692307693
Hard Constraint,hard,3,Budget,0,17,20,0.0
Hard Constraint,hard,5,Cuisine,2,4,8,0.25
Hard Constraint,hard,5,Room Rule,2,7,19,0.10526315789473684
Hard Constraint,hard,5,Transportation,6,0,17,0.35294117647058826
Hard Constraint,hard,5,Room Type,6,0,16,0.375
Hard Constraint,hard,5,Budget,2,7,20,0.1
Hard Constraint,hard,7,Cuisine,0,0,7,0.0
Hard Constraint,hard,7,Room Rule,2,5,19,0.10526315789473684
Hard Constraint,hard,7,Transportation,7,0,17,0.4117647058823529
Hard Constraint,hard,7,Room Type,5,2,17,0.29411764705882354
Hard Constraint,hard,7,Budget,2,5,20,0.1
